,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
166,Color,Richard Donner,141.0,127.0,503.0,91.0,Rene Russo,5000.0,129734803.0,Action|Crime|Thriller,Jet Li,Lethal Weapon 4 ,127497,6171,Darlene Love,2.0,kung fu|lapd|martial arts|private investigator|triad,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,287.0,English,USA,R,140000000.0,1998.0,808.0,6.6,2.35,0
179,Color,Alejandro G. Iñárritu,556.0,156.0,0.0,733.0,Tom Hardy,29000.0,183635922.0,Adventure|Drama|Thriller|Western,Leonardo DiCaprio,The Revenant ,406020,57108,Lukas Haas,0.0,bear attack|cauterizing a wound|native american|revenge|survival,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,1188.0,English,USA,R,135000000.0,2015.0,27000.0,8.1,2.35,190000
190,Color,Michael Bay,94.0,147.0,0.0,877.0,Henry Rollins,10000.0,138396624.0,Action|Comedy|Crime|Thriller,Will Smith,Bad Boys II ,178126,12954,Jordi Mollà,1.0,cuba|dea|drugs|money|undercover,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,511.0,English,USA,R,130000000.0,2003.0,898.0,6.6,2.35,0
214,Color,Paul Verhoeven,196.0,113.0,719.0,217.0,Rachel Ticotin,605.0,119412921.0,Action|Sci-Fi,Ronny Cox,Total Recall ,240241,1441,Marshall Bell,0.0,ambiguous ending|false memory|implanted memory|memory|space colony,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,391.0,English,USA,R,65000000.0,1990.0,308.0,7.5,1.85,0
215,Color,John McTiernan,85.0,102.0,323.0,241.0,Vladimir Kulich,845.0,32694788.0,Action|Adventure|History,Tony Curran,The 13th Warrior ,101411,1815,Clive Russell,1.0,arab|battle|combat|viking|warrior,http://www.imdb.com/title/tt0120657/?ref_=fn_tt_tt_1,546.0,English,USA,R,85000000.0,1999.0,372.0,6.6,2.35,0
227,Color,Ridley Scott,775.0,124.0,0.0,641.0,Charlize Theron,13000.0,126464904.0,Adventure|Mystery|Sci-Fi,Michael Fassbender,Prometheus ,456260,24098,Sean Harris,0.0,cave painting|medical scanner|planet|pregnant with an alien fetus|suspended animation,http://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1,2326.0,English,USA,R,130000000.0,2012.0,9000.0,7.0,2.35,97000
229,Color,Neill Blomkamp,476.0,109.0,662.0,1000.0,Sharlto Copley,13000.0,93050117.0,Action|Drama|Sci-Fi|Thriller,Matt Damon,Elysium ,338087,17689,Alice Braga,0.0,christ figure|class differences|messiah|saviour|social commentary,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,814.0,English,USA,R,115000000.0,2013.0,2000.0,6.6,2.35,61000
243,Color,John Woo,152.0,153.0,610.0,617.0,Roger Willie,12000.0,40911830.0,Action|Drama|War,Nicolas Cage,Windtalkers ,55994,15046,Noah Emmerich,0.0,code|duty|steel helmet|u.s. marine|u.s. soldier,http://www.imdb.com/title/tt0245562/?ref_=fn_tt_tt_1,454.0,English,USA,R,115000000.0,2002.0,836.0,6.0,2.35,0
253,Color,Roland Emmerich,192.0,142.0,776.0,1000.0,Adam Baldwin,13000.0,113330342.0,Action|Drama|History|War,Heath Ledger,The Patriot ,207613,19454,Tom Wilkinson,1.0,american revolution|british|french|hero|standoff,http://www.imdb.com/title/tt0187393/?ref_=fn_tt_tt_1,1144.0,English,USA,R,110000000.0,2000.0,2000.0,7.1,2.35,4000
261,Color,Noam Murro,366.0,102.0,263.0,1000.0,Sullivan Stapleton,6000.0,106369117.0,Action|Drama|Fantasy|War,Eva Green,300: Rise of an Empire ,225273,10583,Peter Mensah,0.0,army|commander|female rear nudity|greek|navy,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,523.0,English,USA,R,110000000.0,2014.0,1000.0,6.2,2.35,71000
272, Black and White,Michael Mann,174.0,165.0,0.0,780.0,Jada Pinkett Smith,10000.0,58183966.0,Biography|Drama|Sport,Will Smith,Ali ,79186,14196,Joe Morton,1.0,african american protagonist|african americans|boxing gym|gym|rumble in the jungle,http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1,386.0,English,USA,R,107000000.0,2001.0,851.0,6.8,2.35,0
275,Color,Ridley Scott,239.0,194.0,0.0,195.0,Orlando Bloom,14000.0,47396698.0,Action|Adventure|Drama|History|War,Liam Neeson,Kingdom of Heaven ,217373,19600,Philip Glenister,1.0,12th century|crusader|jerusalem|knight|medieval times,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1,942.0,English,USA,R,130000000.0,2005.0,5000.0,7.2,2.35,0
281,Color,Peter Chelsom,62.0,104.0,23.0,591.0,Warren Beatty,752.0,6712451.0,Comedy|Romance,Del Zamora,Town & Country ,4102,3133,Garry Shandling,0.0,anniversary|architect|cellist|friend|hardware store,http://www.imdb.com/title/tt0141907/?ref_=fn_tt_tt_1,89.0,English,New Line,R,90000000.0,2001.0,631.0,4.4,1.85,53
283,Color,Ridley Scott,265.0,171.0,0.0,695.0,Connie Nielsen,3000.0,187670866.0,Action|Drama|Romance,Djimon Hounsou,Gladiator ,982637,6521,Oliver Reed,0.0,battlefield|blood|combat|gladiator|roman empire,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,2368.0,English,USA,R,103000000.0,2000.0,933.0,8.5,2.35,21000
288,Color,James Cameron,210.0,153.0,0.0,539.0,Jenette Goldstein,780.0,204843350.0,Action|Sci-Fi,Joe Morton,Terminator 2: Judgment Day ,744891,2829,S. Epatha Merkerson,0.0,future|liquid metal|multiple cameos|sexy woman|time travel,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,983.0,English,USA,R,102000000.0,1991.0,604.0,8.5,2.35,13000
289,Color,Michael Mann,357.0,140.0,0.0,1000.0,Christian Bale,40000.0,97030725.0,Biography|Crime|Drama|History|Romance,Johnny Depp,Public Enemies ,230931,64599,Stephen Graham,1.0,1930s|bank|celebrity criminal|fbi|public enemy number one,http://www.imdb.com/title/tt1152836/?ref_=fn_tt_tt_1,585.0,English,USA,R,100000000.0,2009.0,23000.0,7.0,2.35,0
290,Color,Ridley Scott,300.0,176.0,0.0,561.0,Ruby Dee,18000.0,130127620.0,Biography|Crime|Drama,Denzel Washington,American Gangster ,324671,20354,RZA,0.0,death|heroin|popcorn|smuggling|vietnam,http://www.imdb.com/title/tt0765429/?ref_=fn_tt_tt_1,458.0,English,USA,R,100000000.0,2007.0,782.0,7.8,1.85,0
291,Color,James Cameron,94.0,141.0,0.0,618.0,Tia Carrere,2000.0,146282411.0,Action|Comedy|Thriller,Jamie Lee Curtis,True Lies ,190439,4528,Tom Arnold,0.0,espionage|secret agent|secret mission|spy|spy film,http://www.imdb.com/title/tt0111503/?ref_=fn_tt_tt_1,351.0,English,USA,R,115000000.0,1994.0,1000.0,7.2,2.35,0
292,Color,Tony Scott,267.0,106.0,12000.0,385.0,Ramon Rodriguez,18000.0,65452312.0,Action|Crime|Thriller,Denzel Washington,The Taking of Pelham 1 2 3 ,149998,19906,Michael Rispoli,1.0,hijack|hostage|ransom|subway|train,http://www.imdb.com/title/tt1111422/?ref_=fn_tt_tt_1,285.0,English,USA,R,100000000.0,2009.0,464.0,6.4,2.35,0
295,Color,Chuck Russell,81.0,115.0,55.0,383.0,James Coburn,1000.0,101228120.0,Action|Drama|Mystery|Thriller,Vanessa Williams,Eraser ,84424,3454,Roma Maffia,1.0,assassination attempt|corporate crime|rogue agent|witness|witness protection program,http://www.imdb.com/title/tt0116213/?ref_=fn_tt_tt_1,131.0,English,USA,R,100000000.0,1996.0,773.0,6.1,2.35,0
296,Color,Quentin Tarantino,765.0,165.0,16000.0,265.0,Christoph Waltz,29000.0,162804648.0,Drama|Western,Leonardo DiCaprio,Django Unchained ,955174,40978,Ato Essandoh,1.0,dynamite|historically inaccurate|ku klux klan|n word|slavery,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,1193.0,English,USA,R,100000000.0,2012.0,11000.0,8.5,2.35,199000
299,Color,Simon West,383.0,103.0,165.0,13000.0,Sylvester Stallone,26000.0,85017401.0,Action|Adventure|Thriller,Jason Statham,The Expendables 2 ,246803,57881,Bruce Willis,3.0,church|hostage|mine|plutonium|revenge,http://www.imdb.com/title/tt1764651/?ref_=fn_tt_tt_1,474.0,English,USA,R,92000000.0,2012.0,13000.0,6.7,2.35,108000
306,Color,Peter Hyams,174.0,121.0,0.0,595.0,Mark Margolis,1000.0,66862068.0,Action|Fantasy|Horror|Mystery,CCH Pounder,End of Days ,89509,3903,Udo Kier,0.0,atheist|ex cop|female masturbation|female nudity|lucifer,http://www.imdb.com/title/tt0146675/?ref_=fn_tt_tt_1,524.0,English,USA,R,83000000.0,1999.0,1000.0,5.7,2.35,2000
307,Color,Edward Zwick,166.0,143.0,380.0,452.0,Djimon Hounsou,29000.0,57366262.0,Adventure|Drama|Thriller,Leonardo DiCaprio,Blood Diamond ,400292,33160,Stephen Collins,0.0,diamond|elephant|fisherman|rebel|sierra leone,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,657.0,English,Germany,R,100000000.0,2006.0,3000.0,8.0,2.35,14000
308,Color,Martin Scorsese,606.0,240.0,17000.0,4000.0,Matthew McConaughey,29000.0,116866727.0,Biography|Comedy|Crime|Drama,Leonardo DiCaprio,The Wolf of Wall Street ,780588,46057,Jon Favreau,3.0,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,http://www.imdb.com/title/tt0993846/?ref_=fn_tt_tt_1,1138.0,English,USA,R,100000000.0,2013.0,11000.0,8.2,2.35,138000
310,Color,Paul Verhoeven,192.0,129.0,719.0,423.0,Patrick Muldoon,660.0,54700065.0,Action|Sci-Fi|War,Jake Busey,Starship Troopers ,221521,2031,Seth Gilliam,0.0,alien|federation|future|military|planet,http://www.imdb.com/title/tt0120201/?ref_=fn_tt_tt_1,1049.0,English,USA,R,105000000.0,1997.0,475.0,7.2,1.85,0
311,Color,Tom Tykwer,511.0,172.0,670.0,1000.0,Jim Sturgess,15000.0,27098580.0,Drama|Sci-Fi,Tom Hanks,Cloud Atlas ,284825,22686,Jim Broadbent,5.0,composer|future|letter|nonlinear timeline|nursing home,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,828.0,English,Germany,R,102000000.0,2012.0,5000.0,7.5,2.35,124000
322,Color,Paul Greengrass,266.0,115.0,521.0,95.0,Sean Huze,13000.0,35024475.0,Action|Drama|Thriller|War,Matt Damon,Green Zone ,110364,13761,Igal Naor,1.0,cia|iraq|iraqi|political military conspiracy|weapon of mass destruction,http://www.imdb.com/title/tt0947810/?ref_=fn_tt_tt_1,261.0,English,France,R,100000000.0,2010.0,537.0,6.9,2.35,0
326,Color,Martin Scorsese,233.0,216.0,17000.0,1000.0,Liam Neeson,29000.0,77679638.0,Crime|Drama,Leonardo DiCaprio,Gangs of New York ,314033,47657,Jim Broadbent,3.0,butcher|civil war|gangster|new york city|revenge,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,1166.0,English,USA,R,100000000.0,2002.0,14000.0,7.5,2.35,0
327,Color,Yimou Zhang,136.0,146.0,611.0,28.0,Ni Ni,23000.0,9213.0,Drama|History|Romance|War,Christian Bale,The Flowers of War ,38690,23240,Shigeo Kobayashi,2.0,abusive stepfather|attempted rape|food shortage|sexual abuse|starving child,http://www.imdb.com/title/tt1410063/?ref_=fn_tt_tt_1,130.0,Mandarin,China,R,94000000.0,2011.0,196.0,7.6,2.35,13000
330,Color,Ridley Scott,200.0,152.0,0.0,557.0,Sam Shepard,2000.0,108638745.0,Drama|History|War,Ioan Gruffudd,Black Hawk Down ,292022,4270,Ewen Bremner,0.0,army|helicopter|somali|somalia|warlord,http://www.imdb.com/title/tt0265086/?ref_=fn_tt_tt_1,1103.0,English,USA,R,92000000.0,2001.0,820.0,7.7,2.35,10000
331,Color,Jay Roach,255.0,85.0,116.0,329.0,Thomas Middleditch,8000.0,86897182.0,Comedy,Will Ferrell,The Campaign ,106790,9271,Katherine LaNasa,0.0,campaigning|congressman|north carolina|title at the end|u.s. congressman,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,177.0,English,USA,R,95000000.0,2012.0,331.0,6.2,1.85,18000
333,Color,Michael Patrick King,221.0,146.0,127.0,722.0,Liza Minnelli,962.0,95328937.0,Comedy|Drama|Romance,Chris Noth,Sex and the City 2 ,59581,4555,Kristin Davis,4.0,abu dhabi|box office hit|muslim|nanny|united arab emirates,http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1,293.0,English,USA,R,100000000.0,2010.0,740.0,4.3,1.85,0
347,Color,John Moore,412.0,101.0,212.0,476.0,Cole Hauser,13000.0,67344392.0,Action|Thriller,Bruce Willis,A Good Day to Die Hard ,165618,15481,Megalyn Echikunwoke,2.0,bomb|cia|courthouse|escape|russian,http://www.imdb.com/title/tt1606378/?ref_=fn_tt_tt_1,503.0,English,USA,R,92000000.0,2013.0,787.0,5.3,1.85,66000
361,Color,Martin Scorsese,352.0,151.0,17000.0,1000.0,Matt Damon,29000.0,132373442.0,Crime|Drama|Thriller,Leonardo DiCaprio,The Departed ,873649,45648,Ray Winstone,0.0,boston|mole|police|undercover|undercover cop,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,2054.0,English,USA,R,90000000.0,2006.0,13000.0,8.5,2.35,29000
363,Color,Ben Stiller,308.0,121.0,0.0,918.0,Steve Coogan,21000.0,110416702.0,Action|Comedy,Robert Downey Jr.,Tropic Thunder ,307539,23484,Brandon T. Jackson,3.0,film director|parody|spoof|vietnam|written and directed by cast member,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,577.0,English,USA,R,92000000.0,2008.0,1000.0,7.0,2.35,0
364,Color,David Fincher,517.0,158.0,21000.0,585.0,Goran Visnjic,18000.0,102515793.0,Crime|Drama|Mystery|Thriller,Robin Wright,The Girl with the Dragon Tattoo ,330152,20388,Joely Richardson,1.0,computer hacker|hacker|investigation|journalist|punk,http://www.imdb.com/title/tt1568346/?ref_=fn_tt_tt_1,632.0,English,USA,R,90000000.0,2011.0,1000.0,7.8,2.35,54000
365,Color,John McTiernan,148.0,128.0,323.0,489.0,Aldis Hodge,13000.0,100012500.0,Action|Adventure|Thriller,Bruce Willis,Die Hard with a Vengeance ,299258,14274,Kevin Chamberlin,1.0,bomb|detective|new york city|police|terrorist,http://www.imdb.com/title/tt0112864/?ref_=fn_tt_tt_1,346.0,English,USA,R,90000000.0,1995.0,559.0,7.6,2.35,0
376,Color,Paul Verhoeven,180.0,119.0,719.0,423.0,Kim Dickens,833.0,73209340.0,Action|Horror|Sci-Fi|Thriller,Greg Grunberg,Hollow Man ,101834,2356,Joey Slotnick,0.0,experiment|research|scientist|suburb|surrealism,http://www.imdb.com/title/tt0164052/?ref_=fn_tt_tt_1,628.0,English,USA,R,95000000.0,2000.0,624.0,5.7,1.85,0
382,Color,Tony Scott,142.0,114.0,12000.0,307.0,Stephen Dillane,11000.0,26871.0,Action|Crime|Thriller,Brad Pitt,Spy Game ,121259,12499,Catherine McCormack,2.0,china|cia|cold war|friendship|retirement,http://www.imdb.com/title/tt0266987/?ref_=fn_tt_tt_1,361.0,English,Germany,R,92000000.0,2001.0,577.0,7.0,2.35,0
387,Color,Alan J. Pakula,66.0,111.0,79.0,2000.0,Brad Pitt,11000.0,42877165.0,Action|Crime|Drama|Thriller,Harrison Ford,The Devil's Own ,45602,26088,Natascha McElhone,0.0,friendship|murder|northern ireland|police officer|terrorist,http://www.imdb.com/title/tt0118972/?ref_=fn_tt_tt_1,114.0,English,USA,R,86000000.0,1997.0,11000.0,6.1,2.35,979
390,Color,John Milius,166.0,129.0,468.0,183.0,Mako,919.0,37567440.0,Adventure|Fantasy,William Smith,Conan the Barbarian ,113065,2024,Sandahl Bergman,0.0,actual animal killed|cult|evil sorcerer|gladiator|warlord,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337.0,English,USA,R,20000000.0,1982.0,691.0,6.9,2.35,0
399,Color,Wolfgang Petersen,142.0,124.0,249.0,936.0,Gary Oldman,11000.0,172620724.0,Action|Adventure|Drama|Thriller,Harrison Ford,Air Force One ,146134,23603,Dean Stockwell,1.0,ex soldier|hijacker|hostage|president|terrorist,http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1,393.0,English,USA,R,85000000.0,1997.0,10000.0,6.4,2.35,0
405,Color,Daniel Espinosa,298.0,115.0,79.0,820.0,Ryan Reynolds,18000.0,126149655.0,Action|Crime|Mystery|Thriller,Denzel Washington,Safe House ,166693,36237,Sam Shepard,1.0,cia|cia agent|consulate|on the run|safe house,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,276.0,English,USA,R,85000000.0,2012.0,16000.0,6.8,2.35,19000
409,Color,Tony Scott,81.0,140.0,12000.0,619.0,Jake Busey,10000.0,111544445.0,Action|Crime|Drama|Mystery|Thriller,Will Smith,Enemy of the State ,188116,11951,Lisa Bonet,4.0,congressman|lawyer|nsa|on the run|surveillance,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,415.0,English,USA,R,90000000.0,1998.0,660.0,7.3,2.35,0
410,Color,Nancy Meyers,187.0,120.0,278.0,963.0,Hunter Parrish,11000.0,112703470.0,Comedy|Drama|Romance,Meryl Streep,It's Complicated ,69860,15226,Zoe Kazan,2.0,affair|divorce|graduation|vomiting|watching television,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,214.0,English,USA,R,85000000.0,2009.0,2000.0,6.6,1.85,0
414,Color,Jean-Jacques Annaud,187.0,131.0,218.0,29.0,Gabriel Thomson,5000.0,51396781.0,Drama|History|War,Bob Hoskins,Enemy at the Gates ,188887,5103,Clemens Schick,1.0,battle|german|russian|sniper|stalingrad,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,662.0,English,USA,R,68000000.0,2001.0,35.0,7.6,2.35,0
421,Color,Andrew Davis,135.0,108.0,99.0,172.0,Rick Worthy,672.0,40048332.0,Action|Drama|Thriller,Raymond Cruz,Collateral Damage ,61417,1460,Jsu Garcia,1.0,bare chested boy|car explosion|colombia|explosion|terrorism,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,339.0,English,USA,R,85000000.0,2002.0,174.0,5.5,1.85,941
422,Color,Bob Fosse,84.0,123.0,189.0,87.0,Ben Vereen,813.0,,Comedy|Drama|Music|Musical,Roy Scheider,All That Jazz ,19228,1476,Max Wright,0.0,dancer|editing|stand up comedian|surgery|vomiting,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,146.0,English,USA,R,,1979.0,388.0,7.8,1.85,0
428,Color,Pete Travis,432.0,95.0,38.0,20.0,Jason Cope,409.0,13401683.0,Action|Sci-Fi,Wood Harris,Dredd ,203458,578,Rakie Ayola,0.0,brutality|dark humor|female antagonist|female warrior|post apocalypse,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,588.0,English,UK,R,35000000.0,2012.0,107.0,7.1,2.35,46000
430,Color,George A. Romero,127.0,130.0,0.0,602.0,Hal Holbrook,875.0,,Comedy|Fantasy|Horror,Ted Danson,Creepshow ,29932,2662,Adrienne Barbeau,0.0,anthology|child abuse|critically acclaimed|death|grindhouse,http://www.imdb.com/title/tt0083767/?ref_=fn_tt_tt_1,211.0,English,USA,R,8000000.0,1982.0,826.0,6.9,1.85,0
434,Color,David Fincher,377.0,162.0,21000.0,495.0,Jake Gyllenhaal,21000.0,33048353.0,Crime|Drama|History|Mystery|Thriller,Robert Downey Jr.,Zodiac ,301279,36928,Anthony Edwards,0.0,cartoonist|reporter|serial killer|zodiac|zodiac killer,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,589.0,English,USA,R,65000000.0,2007.0,15000.0,7.7,2.35,12000
437,Color,Sylvester Stallone,424.0,113.0,13000.0,5000.0,Sylvester Stallone,26000.0,102981571.0,Action|Adventure|Thriller,Jason Statham,The Expendables ,270226,46355,Jet Li,9.0,action hero|assassination attempt|explosion|machine gun|rescue mission,http://www.imdb.com/title/tt1320253/?ref_=fn_tt_tt_1,741.0,English,USA,R,80000000.0,2010.0,13000.0,6.5,2.35,57000
440,Color,Todd Phillips,383.0,102.0,480.0,461.0,Mason Lee,14000.0,254455986.0,Comedy,Bradley Cooper,The Hangover Part II ,375879,16143,Mike Tyson,0.0,hotel|male frontal nudity|pubic hair|thailand|wedding,http://www.imdb.com/title/tt1411697/?ref_=fn_tt_tt_1,402.0,English,USA,R,80000000.0,2011.0,670.0,6.5,2.35,56000
452,Color,Martin Scorsese,490.0,138.0,17000.0,163.0,Joseph Sikora,29000.0,127968405.0,Mystery|Thriller,Leonardo DiCaprio,Shutter Island ,786092,29585,Nellie Sciutto,0.0,female prisoner|plot twist|self delusion|surprise ending|year 1954,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,964.0,English,USA,R,80000000.0,2010.0,223.0,8.1,2.35,53000
455,Color,John Woo,155.0,138.0,610.0,805.0,CCH Pounder,12000.0,112225777.0,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,Face/Off ,283967,17087,Joan Allen,0.0,death of child|face|face transplant|prison|terrorist,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,535.0,English,USA,R,80000000.0,1997.0,1000.0,7.3,2.35,11000
457,Color,Sam Mendes,226.0,117.0,0.0,818.0,Jennifer Jason Leigh,15000.0,104054514.0,Crime|Drama|Thriller,Tom Hanks,Road to Perdition ,200359,16828,Liam Aiken,0.0,1930s|blood|gun|on the run|revenge,http://www.imdb.com/title/tt0257044/?ref_=fn_tt_tt_1,1009.0,English,USA,R,80000000.0,2002.0,1000.0,7.7,2.35,0
460,Color,Simon West,139.0,123.0,165.0,744.0,Monica Potter,12000.0,101087161.0,Action|Crime|Thriller,Steve Buscemi,Con Air ,225282,15362,Dave Chappelle,6.0,army rangers|convict|criminal|escape|prison,http://www.imdb.com/title/tt0118880/?ref_=fn_tt_tt_1,339.0,English,USA,R,75000000.0,1997.0,878.0,6.8,2.35,0
462,Color,Anthony Minghella,198.0,154.0,333.0,16000.0,Natalie Portman,22000.0,95632614.0,Adventure|Drama|History|Romance|War,Philip Seymour Hoffman,Cold Mountain ,118483,61110,Charlie Hunnam,3.0,civil war|mountain|soldier|well|wounded soldier,http://www.imdb.com/title/tt0159365/?ref_=fn_tt_tt_1,674.0,English,USA,R,79000000.0,2003.0,20000.0,7.2,2.35,0
463,Color,Albert Hughes,325.0,118.0,117.0,10000.0,Mila Kunis,18000.0,94822707.0,Action|Adventure|Drama|Thriller,Denzel Washington,The Book of Eli ,227072,44797,Gary Oldman,0.0,blind|book|long take|post apocalypse|water,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,560.0,English,USA,R,80000000.0,2010.0,15000.0,6.9,2.35,20000
469,Color,Richard Donner,80.0,135.0,503.0,67.0,Alex McArthur,8000.0,76081498.0,Action|Crime|Mystery|Romance|Thriller,Julia Roberts,Conspiracy Theory ,76099,8355,Michael Potts,1.0,conspiracy|fbi|mk ultra|newsletter|taxi,http://www.imdb.com/title/tt0118883/?ref_=fn_tt_tt_1,162.0,English,USA,R,75000000.0,1997.0,137.0,6.7,2.35,0
